iter	Passed	Remaining
747	4098	1380
748	4105	1375
749	4107	1369
750	4109	1362
751	4111	1355
752	4113	1349
753	4122	1345
754	4127	1339
755	4131	1333
756	4136	1327
757	4138	1321
758	4141	1314
759	4142	1308
760	4151	1303
761	4153	1297
762	4156	1291
763	4159	1284
764	4161	1278
765	4164	1272
766	4166	1265
767	4169	1259
768	4173	1253
769	4177	1247
770	4179	1241
771	4181	1234
772	4182	1228
773	4184	1221
774	4186	1215
775	4188	1208
776	4189	1202
777	4192	1196
778	4196	1190
779	4200	1184
780	4205	1179
781	4207	1172
782	4209	1166
783	4212	1160
784	4214	1154
785	4221	1149
786	4224	1143
787	4230	1138
788	4232	1131
789	4238	1126
790	4241	1120
791	4245	1115
792	4249	1109
793	4252	1103
794	4254	1097
795	4257	1091
796	4259	1084
797	4261	1078
798	4268	1073
799	4271	1067
800	4274	1062
801	4279	1056
802	4288	1052
803	4293	1046
804	4296	1040
805	4298	1034
806	4299	1028
807	4301	1022
808	4304	1016
809	4306	1010
810	4309	1004
811	4312	998
812	4317	992
813	4320	987
814	4326	982
815	4330	976
816	4336	971
817	4338	965
818	4341	959
819	4343	953
820	4345	947
821	4348	941
822	4352	936
823	4355	930
824	4359	924
825	4362	918
826	4368	913
827	4370	907
828	4371	901
829	4373	895
830	4375	889
831	4377	883
832	4380	878
833	4383	872
834	4385	866
835	4388	860
836	4390	855
837	4393	849
838	4398	844
839	4400	838
840	4405	832
841	4411	827
842	4414	822
843	4416	816
844	4418	810
845	4420	804
846	4423	798
847	4427	793
848	4431	788
849	4435	782
850	4442	777
851	4445	772
852	4449	766
853	4453	761
854	4458	756
855	4462	750
856	4464	744
857	4471	740
858	4475	734
859	4479	729
860	4482	723
861	4485	718
862	4487	712
863	4489	706
864	4490	700
865	4492	695
866	4494	689
867	4495	683
868	4498	678
869	4501	672
870	4506	667
871	4508	661
872	4515	656
873	4519	651
874	4522	646
875	4524	640
876	4529	635
877	4530	629
878	4532	623
879	4534	618
880	4535	612
881	4537	607
882	4539	601
883	4541	595
884	4544	590
885	4547	585
886	4550	579
887	4552	574
888	4557	568
889	4559	563
890	4561	558
891	4565	552
892	4567	547
893	4570	541
894	4572	536
895	4574	530
